162.243.22.61:64929
145.239.10.14:64175
178.254.62.52:29664
54.37.86.163:60468
162.240.172.209:60852
193.203.203.162:59286
188.165.192.99:42815
61.245.29.126:1080
51.89.0.56:21977
148.66.129.152:58461
68.183.83.37:59224
212.47.251.132:16379
163.172.140.107:16379
51.210.111.216:26732
192.95.36.96:62382
144.217.255.108:39698
188.165.220.50:48440
146.59.70.139:45348
80.92.205.205:43584
94.23.11.131:61421
149.56.13.7:3835
68.183.122.221:25208
138.3.218.141:54261
51.15.232.175:16379
162.241.73.195:57824
51.38.77.166:61994
212.47.235.205:16379
192.99.201.39:11249
207.180.202.102:33818
140.238.24.231:1080
154.12.242.82:8888
149.28.32.205:25936
163.172.164.115:16379
163.172.172.161:16379
184.168.121.153:64744
184.168.121.153:14013
184.168.121.153:17249
184.168.121.153:49562
212.47.253.24:16379
184.168.121.153:47137
188.164.196.31:56509
187.188.169.169:59329
188.165.192.99:8962
103.77.16.190:1080
184.168.121.153:20974
115.127.67.26:1080
46.105.105.223:51869
109.123.254.43:18871
46.105.105.223:29489
51.75.126.150:13960
51.15.210.190:16379
51.75.121.63:52515
51.210.111.216:16490
51.75.126.150:37863
212.47.250.36:16379
51.210.111.216:29963
212.47.249.56:16379
212.47.227.134:16379
37.187.73.7:63263
51.210.111.216:47878
188.164.199.34:13745
51.75.126.150:62889
88.202.230.103:39345
185.35.130.16:61212
149.28.155.161:1080
212.47.237.84:16379
51.75.126.150:6424
51.75.126.150:54612
184.168.121.153:62648
212.47.253.40:16379
103.157.237.150:1080
46.105.105.223:32706
172.236.30.90:31111
51.75.126.150:62037
188.165.192.99:61700
184.168.121.153:1052
172.236.22.173:31111
88.198.0.39:64009
167.172.145.158:54308
208.89.96.187:40265
103.111.136.82:8199
163.172.163.128:16379
188.165.192.99:36188
46.105.105.223:35749
149.78.186.176:32566
162.19.107.54:53829
140.245.115.151:8080
198.12.249.249:59709
51.210.111.216:56241
98.152.200.61:8081
140.245.115.151:1080
144.217.61.80:5032
46.105.105.223:43470
77.40.48.193:40104
51.79.248.208:27651
162.19.107.54:55624
54.37.86.163:26701
163.172.185.252:16379
37.187.131.224:37701
51.68.87.81:24284
88.202.230.103:54572
51.15.241.236:16379
164.92.82.207:28131
188.165.192.99:60013
198.12.249.249:64999
46.105.105.223:29267
68.178.164.136:17588
184.168.121.153:4997
89.221.212.251:10092
51.158.70.181:16379
51.15.236.150:16379
208.109.9.250:52927
51.91.103.153:51613
188.164.197.103:54185
117.1.196.7:20015
46.105.105.223:44290
51.83.66.117:59811
82.223.165.28:4733
148.72.210.123:14761
51.158.68.28:16379
38.242.210.133:4668
68.178.164.136:11956
51.83.66.117:62062
68.178.203.148:58867
64.176.81.125:27632
194.163.171.238:47183
162.19.107.54:37404
51.83.66.117:52355
91.122.176.71:1080
149.56.13.7:48482
51.75.126.150:3307
144.217.61.69:20958
51.83.66.117:54582
109.123.254.43:57495
162.240.103.65:48548
51.83.66.117:49596
51.75.126.150:15048
51.83.66.117:50094
89.221.212.251:18535
68.178.207.17:54278
162.19.107.54:49472
68.178.207.17:56022
198.12.249.249:30546
152.228.134.142:34091
162.19.107.54:54118
206.189.184.213:4765
84.201.154.226:1080
162.19.107.54:53414
172.236.22.60:31111
171.240.89.128:20020
46.105.105.223:64464
54.39.52.121:57695
198.12.249.249:36988
85.159.104.100:59611
116.202.208.254:36121
147.182.228.10:37123
51.89.21.99:7384
